"id_","id2","ranking_based","random_recommendations","profit_oriented","id","expectation"
"1",1,16,8.5,20,1,19.25
"2",2,19.75,8.5,17.75,2,19.25
"3",3,19.75,18.75,21.75,3,19.25
"4",4,19.5,17.75,22.25,4,19.25
"5",5,19.25,17,21.75,5,19.25
"6",6,20.5,19.75,20.75,6,19.25
"7",7,20,13.75,22,7,19.25
"8",8,18.75,11.25,21.25,8,19.25
"9",9,19.75,11.75,21.25,9,19.25
"10",10,19,24.75,24.5,10,19.25
"11",11,13,16,21.75,11,19.25
"12",12,17.5,17.75,22.5,12,19.25
"13",13,16.75,15.5,21.75,13,19.25
"14",14,17.75,17.75,21,14,19.25
"15",15,20,22,22.25,15,19.25
"16",16,20.5,21,19.75,16,19.25
"17",17,18.75,24.5,20.75,17,19.25
"18",18,20.25,11.5,22.25,18,19.25
"19",19,16.5,25,21.75,19,19.25
"20",20,21,21.5,22.25,20,19.25
"21",21,19.5,13.75,23,21,19.25
"22",22,17,19.75,21.75,22,19.25
"23",23,17.5,17.75,21.75,23,19.25
"24",24,20.25,20.5,22.5,24,19.25
"25",25,17,15.25,21.75,25,19.25
"26",26,19.75,10.75,21.75,26,19.25
"27",27,17.25,14,21.5,27,19.25
"28",28,21,18.25,23.5,28,19.25
"29",29,16.75,20,19.75,29,19.25
"30",30,17.75,19.25,23.5,30,19.25
"31",31,19.25,18.25,21.75,31,19.25
"32",32,17,14.5,22.5,32,19.25
"33",33,20.25,16.75,22.5,33,19.25
"34",34,19.5,19.5,22,34,19.25
"35",35,17,12.5,22.75,35,19.25
"36",36,19,17.25,22,36,19.25
"37",37,20.25,20,23,37,19.25
"38",38,14.5,20,23,38,19.25
"39",39,17.75,20.75,22.5,39,19.25
"40",40,19.25,16.25,20.75,40,19.25
"41",41,12.5,18.75,18.75,41,19.25
"42",42,19.5,20.5,23,42,19.25
"43",43,18.75,20.75,20.5,43,19.25
"44",44,20.75,19,22.75,44,19.25
"45",45,18.75,18.75,22,45,19.25
"46",46,9,15.25,21.5,46,19.25
"47",47,17.25,10.75,22.25,47,19.25
"48",48,6.25,19.25,23.5,48,19.25
"49",49,20.25,19.75,21,49,19.25
"50",50,17.25,18.5,22,50,19.25
"51",51,19.75,19.25,22,51,19.25
"52",52,18.25,19.75,21.75,52,19.25
"53",53,19.75,20.5,22.75,53,19.25
"54",54,16.25,19.75,22.25,54,19.25
"55",55,18.5,16.5,20.75,55,19.25
"56",56,18.75,22.5,20.5,56,19.25
"57",57,18.75,16.5,23,57,19.25
"58",58,20,15.5,23.25,58,19.25
"59",59,22.5,19.75,23.75,59,19.25
"60",60,21.5,19.75,21.5,60,19.25
"61",61,21.75,18.5,21.75,61,19.25
"62",62,15.75,20,23.25,62,19.25
"63",63,17.5,17.25,22.25,63,19.25
"64",64,12.25,18.25,21.25,64,19.25
"65",65,16.5,21,22.75,65,19.25
"66",66,19.25,10.5,22,66,19.25
"67",67,18.25,20.75,19.75,67,19.25
"68",68,14.75,21,23,68,19.25
"69",69,18.75,9.25,22.25,69,19.25
"70",70,19.75,19,21.25,70,19.25
"71",71,7.5,14.75,21.5,71,19.25
"72",72,15.75,13.25,21.5,72,19.25
"73",73,20.5,25,21.75,73,19.25
"74",74,17.5,14,21.5,74,19.25
"75",75,19.5,14,22.5,75,19.25
"76",76,16.5,20,22.75,76,19.25
"77",77,21.25,20.25,21.75,77,19.25
"78",78,16.75,20,21.5,78,19.25
"79",79,19.75,17.25,22.5,79,19.25
