"Column_Name","NA_percentage"
"Request.Processing.Time",0
"Request.Date",0
"Request.Date_Time",0
"Request.Sequence",0
"Request.Template",0
"REQUEST_DAY_OF_WEEK",0
"REQUEST_HOUR_OF_DAY",0
"Cookie.First.Visit.Date",0
"Cookie.First.Visit.Date_Time",0
"Session.First.Request.Date",0
"Session.First.Request.Date_Time",0
"Session.Cookie.ID",0
"Session.ID",0
"Session.User.Agent",0
"Session.Visit.Count",0
"Session.First.Processing.Time",0
"Session.First.Template",0
"Session.First.Request.Day.of.Week",0
"Session.First.Request.Hour.of.Day",0
"Session.First.Content.ID",0.0011
"Content.Level",0.0013
"Content.Creation.Date",0.0013
"Content.Creation.Date_Time",0.0013
"Content.ID",0.0013
"Content.Modification.Date",0.0013
"Content.Modification.Date_Time",0.0013
"Content.Status",0.0013
"Content.Type",0.0013
"Content.Level.1.Path",0.0013
"Content.Level.2.Path",0.0013
"Content.Level.3.Path",0.0013
"Request.Assortment.ID",0.0021
"Request.Query.String",0.2007
"Assortment.Type",0.268
"Assortment.ID",0.268
"Assortment.Status",0.268
"Assortment.Creation.Date",0.268
"Assortment.Creation.Date_Time",0.268
"Assortment.Modification.Date",0.268
"Assortment.Modification.Date_Time",0.268
"Assortment.Level",0.268
"Assortment.Level.1.Path",0.268
"Assortment.Level.2.Path",0.268
"Request.Referrer",0.3327
"Request.Subassortment.ID",0.3452
"Session.First.Referrer",0.4397
"Session.First.Query.String",0.5768
"Assortment.Level.3.Path",0.6112
"Product.Hierarchy.Level",0.6909
"Manufacturer",0.6909
"Product.Web.Template",0.6909
"Product.Object.Type",0.6909
"Product.Object.ID",0.6909
"Product.Object.Status",0.6909
"Product.Creation.Date",0.6909
"Product.Creation.Date_Time",0.6909
"Product.Modification.Date",0.6909
"Product.Modification.Date_Time",0.6909
"Product.Family.ID",0.6909
"Product.Family.Status",0.6909
"Product.ID",0.6909
"Product.Status",0.6909
"Product.Code",0.6909
"Product.Level.1.Path",0.6909
"Product.Level.2.Path",0.6909
"Product.Level.3.Path",0.6909
"Viewed.Brand",0.6909
"Pack",0.6933
"StockType",0.694
"MfgStyleCode",0.7169
"Height",0.7224
"Weight",0.7224
"Width",0.7224
"WeightUOM",0.7224
"DimUOM",0.7226
"UnitIncrement",0.7564
"LeadTime",0.7746
"BasicOrFashion",0.7814
"HasDressingRoom",0.7814
"CategoryCode",0.7814
"Audience",0.7814
"BrandName",0.7821
"MinQty",0.7918
"Assortment.Level.4.Path",0.7939
"Length",0.7979
"Collection",0.7993
"UnitsPerInnerBox",0.8051
"ToeFeature",0.8865
"VendorPageColor",0.8941
"Material",0.8995
"Look",0.9024
"WaistControl",0.9027
"Pattern",0.9057
"Depth",0.9077
"Assortment.Level.5.Path",0.9078
"Terms",0.9095
"Category1",0.9095
"Freight",0.9095
"Product",0.9095
"Cat1Sub1",0.9096
"VendorMinREOrderDollars",0.9097
"InOrOutofStock",0.9119
"UnitsPerOuterBox",0.9151
"SaleOrNonSale",0.916
"ActionCode",0.918
"Socktype1",0.9247
"PrimaryPackage",0.9383
"Texture",0.9415
"ProductForm",0.9464
"Socktype2",0.9689
"Assortment.Level.6.Path",0.9752
"BodyFeature",0.9777
"Cat1Sub2",0.9818
"Category2",0.9896
"Cat1Sub3",0.9912
"DisContinuedInd",0.9915
"Cat2Sub1",0.9932
"ColorOrScentDropdown",0.9971
"ColorOrScent",0.9971
"ExplodedProdKits",0.9999
