WhichDoYouWearMostFrequent,YourFavoriteLegcareBrand,Registration Gender,NumberOfChildren,DoYouPurchaseForOthers,HowDoYouDressForWork,HowManyPairsDoYouPurchase,YourFavoriteLegwearBrand,WhoMakesPurchasesForYou,NumberOfAdults,HowDidYouHearAboutUs,SendEmail,HowOftenDoYouPurchase,HowDidYouFindUs,City,US State,Email,Truck Owner,RV Owner,Motorcycle Owner,Marital Status,Working Woman,Mail Responder,Bank Card Holder,Gas Card Holder,Upscale Card Holder,Unknown Card Type,TE Card Holder,Premium Card Holder,Presence Of Children,Estimated Income Code,Home Market Value,New Car Buyer,Vehicle Lifestyle,Property Type,Loan To Value Percent,Presence Of Pool,Own Or Rent Home,Mail Order Buyer,DMA No Mail Solicitation Flag,DMA No Phone Solicitation Flag,New Bank Card,Speciality Store Retail,Oil Retail Activity,Bank Retail Activity,Finance Retail Activity,Miscellaneous Retail Activity,Upscale Retail,Upscale Speciality Retail,Retail Activity,Dwelling Size,Lendable Home Equity,Home Size Range,Lot Size Range,Dwelling Unit Size,Available Home Equity,Minority Census Tract,Gender,Occupation,Other Indiv\. Gender,Other Indiv\. Occupation,Year of Birth,Value Of All Vehicles,Age,Other Indiv\. Age,Number Of Adults,Year House Was Built,Length Of Residence,Year Home Was Bought,Home Purchase Date,Number Of Vehicles,CRA Income Classification,Number Of Credit Lines,Dataquick Market Code,Insurance Expiry Month,Month Home Was Bought,Year Of Structure,REQUEST_DAY_OF_WEEK,REQUEST_HOUR_OF_DAY,Customer ID,Clicks,Duration,Orderer
,,Male,4 or more,,,,,,2,,True,,Friend/Co-worker,Westport,CT,Gazelle,True,False,False,,False,True,True,True,True,False,True,True,True,$125;000 OR MORE,$500;000-$774;999,True,SPECIALTY (MIDSIZE/SMALL),,,False,Owner,True,True,True,False,True,False,False,False,True,False,False,False,SINGLE HOUSEHOLD,,,,SINGLE FAMILY DWELLING UNIT,EQUITY $250;000-$499;999,False,Male,PROFESSIONAL/TECHNICAL,Male,PROFESSIONAL/TECHNICAL,1963,17000,34,36,2,,6,1994,199400,1,,,,,,1991,Wednesday,16,62,10,0:01:44,1
,,Male,0,,,,,,2,,True,,Friend/Co-worker,Cupertino,CA,Gazelle,False,False,False,,False,False,False,False,False,False,False,False,False,,,,,,,False,,False,True,True,False,False,False,False,False,False,False,False,False,,,,,,,False,,,,,1953,,44,,1,,,,,,,,,,,,Wednesday,16,168,9,0:06:18,1
,,Male,0,,,,,,1,,True,,Other,Novato,CA,Gazelle,False,False,False,Married,False,False,True,True,True,False,False,False,False,$75;000-$99;999,$300;000-$349;999,,,single family dwelling,75-79%,False,Owner,False,True,True,False,False,False,False,False,False,False,False,False,SINGLE HOUSEHOLD,EQUITY $10;000-$19;9999,2;500-2;999 FT,,SINGLE FAMILY DWELLING UNIT,EQUITY $75;000-$99;999,False,Male,ADMINISTRATIVE/MANAGERIAL,,,,,34,,1,1963,1,1998,199811,2,,,7,11,11,1994,Monday,11,236,12,0:14:46,1
,,Female,4 or more,,,,,,2,,True,,Other,Westport,CT,COM,True,False,False,,False,True,True,True,True,False,True,True,True,$125;000 OR MORE,$500;000-$774;999,True,SPECIALTY (MIDSIZE/SMALL),,,False,Owner,True,True,True,False,True,False,False,False,True,False,False,False,SINGLE HOUSEHOLD,,,,SINGLE FAMILY DWELLING UNIT,EQUITY $250;000-$499;999,False,Male,PROFESSIONAL/TECHNICAL,Male,PROFESSIONAL/TECHNICAL,1962,17000,36,34,2,,6,1994,199400,1,,,,,,1991,Wednesday,8,240,24,0:07:15,1
,,Female,0,,,,,,2,,True,,Friend/Co-worker,new haven,CT,Gazelle,False,False,False,Married,False,True,True,True,False,True,True,True,False,$125;000 OR MORE,$175;000-$199;999,True,PERSONAL LUXURY CAR,,,False,Owner,True,True,True,False,False,False,False,True,False,False,True,False,SINGLE HOUSEHOLD,,,,SINGLE FAMILY DWELLING UNIT,EQUITY $150;000-$199;999,False,Female,,Male,,1966,6000,32,34,4,,14,1986,198600,1,,3,,,,1976,Tuesday,14,364,7,0:05:46,1
,,Female,2,,,,,,3 or more,,True,,Friend/Co-worker,Stamford,CT,COM,False,False,False,,True,True,True,True,True,True,False,False,True,$125;000 OR MORE,$350;000-$399;999,True,,single family dwelling,80-84%,False,Owner,True,True,True,False,False,False,True,False,False,False,False,True,SINGLE HOUSEHOLD,EQUITY LESS THAN OR EQUAL $0,2;500-2;999 FT,,SINGLE FAMILY DWELLING UNIT,EQUITY $50;000-$74;000,False,Female,,Female,ADMINISTRATIVE/MANAGERIAL,1962,,36,40,2,1959,7,1992,199209,1,,2,1,9,9,1960,Saturday,16,538,13,0:05:16,1
,,Female,1,,,,,,2,,True,,Friend/Co-worker,Stamford,CT,Gazelle,False,False,False,Single,False,True,True,True,True,False,False,False,True,$125;000 OR MORE,$175;000-$199;999,,,single family dwelling,,False,Owner,True,True,True,False,False,False,False,False,False,False,False,False,SINGLE HOUSEHOLD,,1;750-1;999 FT,,SINGLE FAMILY DWELLING UNIT,EQUITY $75;000-$99;999,False,Female,,,,1971,,28,,1,1880,12,1988,198800,,,,4,,,1900,Tuesday,14,1438,8,0:01:34,1
,,Female,0,,,,,,1,,True,,News Story,la crosse,WI,NET,True,False,False,Single,True,True,True,False,False,True,True,False,False,$50;000-$74;999,$75;000-$99;999,,SPECIALTY (MIDSIZE/SMALL),,,False,Owner,True,True,True,False,True,False,True,False,False,False,False,True,SINGLE HOUSEHOLD,,,,SINGLE FAMILY DWELLING UNIT,EQUITY $50;000-$74;000,False,Female,PROFESSIONAL/TECHNICAL,,,1948,4000,50,,1,,9,1991,199100,,,3,,,,1991,Monday,9,2390,33,0:15:13,1
,,,,,,,,,,,,,,New York,NY,COM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tuesday,11,2480,2,0:00:22,0
,,Male,0,,,,,,3 or more,,False,,Friend/Co-worker,Stamford,CT,COM,False,False,False,Married,False,True,True,True,True,False,True,False,False,$125;000 OR MORE,$225;000-$249;999,True,,,,False,Owner,True,True,True,False,False,False,False,False,False,False,False,False,SINGLE HOUSEHOLD,,,,SINGLE FAMILY DWELLING UNIT,EQUITY $100;000-$149;999,False,,,,,1975,,24,,6,,12,1988,198800,1,,,,,,1987,Tuesday,5,2662,25,0:08:52,1
