"Variable","Top 1st","Top 2nd","Top 3rd","Top 4th","Top 5th","Others","Not Available"
"WhichDoYouWearMostFrequent","casual socks: 1.71%","hosiery: 1.56%","athletic socks: 0.79%","trouser socks: 0.55%","","Others: 0.01%","Not Available: 95.38%"
"YourFavoriteLegcareBrand","Conair: 0.46%","Nature Made: 0.46%","Epilady: 0.32%","Lucky Chick: 0.31%","DailyHerbs: 0.22%","Others: 1.63%","Not Available: 96.6%"
"Registration.Gender","Female: 0.09%","Male: 0.06%","","","","Others: 0%","Not Available: 99.85%"
"NumberOfChildren","0: 0.08%","2: 0.03%","1: 0.02%","4 or more: 0.02%","","Others: 0%","Not Available: 99.85%"
"DoYouPurchaseForOthers","False: 13.86%","","","","","Others: 0%","Not Available: 86.14%"
"HowDoYouDressForWork","business casual: 1.93%","very casual: 1.19%","business dress: 0.77%","comfortable / athletic: 0.65%","","Others: 0%","Not Available: 95.46%"
"HowManyPairsDoYouPurchase","15 or more: 2.46%","11 to 15: 1.13%","1 to 5: 0.57%","6 to 10: 0.25%","","Others: 0%","Not Available: 95.59%"
"YourFavoriteLegwearBrand","Hanes: 1.69%","DKNY: 0.74%","Danskin: 0.4%","Donna Karan: 0.38%","Berkshire: 0.3%","Others: 1.07%","Not Available: 95.42%"
"WhoMakesPurchasesForYou","spouse: 0.36%","friend: 0.27%","parent: 0.25%","siblings: 0%","","Others: 0%","Not Available: 99.12%"
"NumberOfAdults","1: 0.05%","2: 0.05%","3 or more: 0.05%","","","Others: 0%","Not Available: 99.85%"
"HowDidYouHearAboutUs","other: 4.7%","friend / family: 3.85%","e-mail: 1.94%","print ad: 1.4%","in the news: 0.15%","Others: 0.06%","Not Available: 87.9%"
"SendEmail","True: 9.29%","False: 4.72%","","","","Others: 0.01%","Not Available: 85.98%"
"HowOftenDoYouPurchase","every 6 months: 2.82%","once a year: 0.51%","each week: 0.29%","","","Others: 0%","Not Available: 96.38%"
"HowDidYouFindUs","Friend/Co-worker: 0.09%","Other: 0.04%","News Story: 0.02%","","","Others: 0%","Not Available: 99.85%"
"City","New York: 0.33%","Dallas: 0.19%","San Francisco: 0.18%","Stamford;: 0.17%","stamford: 0.14%","Others: 13.01%","Not Available: 85.98%"
