"Variable","Top 1st","Top 2nd","Top 3rd","Top 4th","Top 5th","Others","Not Available"
"City","San Francisco: 2.31%","New York: 2.18%","Chicago: 1.35%","Stamford: 1.09%","Dallas: 0.71%","92.36%","96.92%"
"US.State","CA: 13.28%","NY: 11.1%","TX: 5.97%","PA: 5.39%","IL: 4.68%","59.58%","96.92%"
"Marital.Status","Married: 61.8%","Single: 24.7%","Inferred Married: 7%","Inferred Single: 6.5%","","0%","98.02%"
"Gender","Female: 83.33%","Male: 16.67%","","","","0%","98.43%"
"Audience","Women: 85.44%","Children: 10.27%","Men: 4.29%","","","0%","98.25%"
"Truck.Owner","False: 77.84%","True: 22.16%","","","","0%","97.72%"
"RV.Owner","False: 91.17%","True: 8.83%","","","","0%","97.72%"
"Motorcycle.Owner","False: 98.79%","True: 1.21%","","","","0%","97.72%"
"Working.Woman","False: 65.54%","True: 34.46%","","","","0%","97.72%"
"Presence.Of.Children","False: 50.39%","True: 49.61%","","","","0%","97.72%"
"Speciality.Store.Retail","False: 84.59%","True: 15.41%","","","","0%","97.72%"
"Oil.Retail.Activity","False: 90.65%","True: 9.35%","","","","0%","97.72%"
"Bank.Retail.Activity","False: 77.58%","True: 22.42%","","","","0%","97.72%"
"Finance.Retail.Activity","False: 90.3%","True: 9.7%","","","","0%","97.72%"
"Miscellaneous.Retail.Activity","False: 94.37%","True: 5.63%","","","","0%","97.72%"
"Upscale.Retail","False: 94.37%","True: 5.63%","","","","0%","97.72%"
"Upscale.Speciality.Retail","False: 96.36%","True: 3.64%","","","","0%","97.72%"
"Retail.Activity","False: 64.33%","True: 35.67%","","","","0%","97.72%"
