"Variable","Max","Mean","Median","Min","SD"
"Year.of.Birth",1979,1963.63157894737,1962,1948,8.88295460931177
"Value.Of.All.Vehicles",99000,18863.1331303626,16000,1000,13401.1910779118
"Age",86,37.581535444102,36,18,10.5647999384901
"Other.Indiv...Age",86,40.3719289710533,38,18,10.5626336757193
"Number.Of.Adults",6,2.51839308653509,2,1,1.3520183598663
"Year.House.Was.Built",1997,1965.15956125828,1969,1850,25.2302991231964
"Length.Of.Residence",15,6.77259671209436,6,0,4.3772899074069
"Year.Home.Was.Bought",1999,1991.18160831089,1993,1954,6.34408803596127
"Home.Purchase.Date",199906,199121.017391304,199300,195400,633.682272448659
"Number.Of.Vehicles",3,1.44783690658499,1,1,0.590565167290753
"CRA.Income.Classification",4,3.33459655771356,3,1,0.641528434679526
"Number.Of.Credit.Lines",9,2.60326827054017,3,1,1.56254633855531
"Dataquick.Market.Code",10,4.44779411764706,4,1,2.44683020139466
"Insurance.Expiry.Month",12,6.50797952423969,6,1,3.45862108389894
"Month.Home.Was.Bought",12,7.12266310568485,7,1,3.28300474171805
"Year.Of.Structure",1999,1972.73897633065,1981,1900,27.693630123616
