"Variable","Top 1st","Top 2nd","Top 3rd","Top 4th","Top 5th","Others","Not Available"
"BrandName","DKNY: 1.38%","Silk Reflections: 1.28%","ORO: 1.22%","HPK: 1%","AME: 0.99%","Others: 7.97%","Not Available: 86.16%"
"PrimaryPackage","Bottle: 1.38%","Tube: 1.2%","Jar: 1%","Box: 0.21%","Spray: 0.13%","Others: 0.01%","Not Available: 96.07%"
"Cat1Sub2","Gift Sets & Special Items: 0.28%","Deodorizer: 0.26%","Massage/Relaxers: 0.22%","Firming: 0.18%","Energizers: 0.13%","Others: 0.36%","Not Available: 98.57%"
"StockType","Replenishable: 12%","Seasonal 1: 4.68%","Seasonal 1*: 2.22%","Seasonal 2: 0.41%","Replenishment: 0.36%","Others: 0.03%","Not Available: 80.3%"
"ProductForm","Cream: 1.82%","Liquid: 0.81%","gel: 0.25%","Lotion: 0.25%","Capsule: 0.2%","Others: 0.03%","Not Available: 96.64%"
"Look","Sheer: 4.83%","Ultra Sheer: 0.76%","Opaque: 0.2%","","","Others: 0%","Not Available: 94.22%"
"BasicOrFashion","Basic: 12.83%","Fashion: 1.07%","","","","Others: 0%","Not Available: 86.11%"
"MfgStyleCode","Tricot: 0.42%","BC27340: 0.26%","00N02: 0.24%","00Q63: 0.24%","4646: 0.21%","Others: 16.57%","Not Available: 82.06%"
"SaleOrNonSale","NSALE: 5.54%","","","","","Others: 0%","Not Available: 94.46%"
"Cat1Sub3","Energizers: 0.22%","Cellulite: 0.15%","Moisturizers: 0.14%","Massage/Relaxers: 0.13%","Gift Sets & Special Items: 0.07%","Others: 0%","Not Available: 99.29%"
"ColorOrScentDropdown","Yes: 0.3%","","","","","Others: 0%","Not Available: 99.7%"
"DisContinuedInd","A: 0.65%","","","","","Others: 0%","Not Available: 99.35%"
"Socktype2","ML: 0.59%","PA: 0.45%","KS: 0.39%","TS: 0.33%","OC: 0.31%","Others: 0%","Not Available: 97.94%"
"Terms","COD: 6%","","","","","Others: 0%","Not Available: 94%"
"Socktype1","ML: 2.85%","PA: 1.15%","TS: 0.68%","OC: 0.18%","KS: 0.14%","Others: 0%","Not Available: 95%"
"InOrOutofStock","IS: 5.85%","","","","","Others: 0%","Not Available: 94.15%"
"HasDressingRoom","False: 10.23%","True: 3.68%","","","","Others: 0%","Not Available: 86.09%"
