"Variable","Top 1st","Top 2nd","Top 3rd","Top 4th","Top 5th","Others","Not Available"
"BrandName","DKNY: 9.99%","Silk Reflections: 9.21%","ORO: 8.85%","HPK: 7.22%","AME: 7.13%","57.6%","86.16%"
"PrimaryPackage","Bottle: 35.18%","Tube: 30.46%","Jar: 25.55%","Box: 5.4%","Spray: 3.41%","0%","96.07%"
"StockType","Replenishable: 60.93%","Seasonal 1: 23.75%","Seasonal 1*: 11.25%","Seasonal 2: 2.07%","Replenishment: 1.83%","0.17%","80.3%"
"ProductForm","Cream: 54.01%","Liquid: 24.19%","gel: 7.58%","Lotion: 7.36%","Capsule: 5.97%","0.89%","96.64%"
"Look","Sheer: 83.41%","Ultra Sheer: 13.1%","Opaque: 3.48%","","","0.01%","94.22%"
"BasicOrFashion","Basic: 92.33%","Fashion: 7.67%","","","","0%","86.11%"
"MfgStyleCode","Tricot: 2.34%","BC27340: 1.45%","00N02: 1.35%","00Q63: 1.34%","5751: 1.2%","92.32%","82.06%"
"SaleOrNonSale","NSALE: 100%","","","","","0%","94.46%"
"HasDressingRoom","False: 73.56%","True: 26.44%","","","","0%","86.09%"
"ColorOrScent","Scent: 85.69%","Color: 14.31%","","","","0%","99.7%"
"Texture","Flat: 66.48%","Textured: 33.52%","","","","0%","96.65%"
"Manufacturer","Donna Karan Company: 10.79%","Peneco: 9.08%","HAN: 8.66%","Kneipp: 6.61%","Paul Lavitt Mills Inc\.: 6.54%","58.32%","80.12%"
"ToeFeature","SF: 86.04%","RT: 13.96%","","","","0%","93.49%"
"Category2","Gift Sets & Special Items: 32.01%","Skincare: 23.28%","Cellulite & Other Treatments: 22.82%","Footcare: 14.47%","Health Supplements: 6.2%","1.22%","99.21%"
"Material","Cotton: 66.35%","Nylon: 23.62%","Coolmax: 3.71%","Rayon: 1.49%","Lycra: 1.04%","3.79%","93.18%"
"CategoryCode","PH: 33.89%","WDCS: 12.66%","TH: 7.83%","FO: 6.76%","TT: 6.2%","32.66%","86.09%"
"WaistControl","CT: 76.17%","STW: 23.83%","","","","0%","94.34%"
"Collection","Oroblu Italian Hosiery: 6.31%","Conversationals: 5.17%","DKNY Skin: 4.41%","Action Pack 3-Pair: 3.9%","Womens Dance: 3.84%","76.37%","86.96%"
"BodyFeature","MBC: 64.5%","UBC: 17.51%","LBC: 11.17%","BS: 6.82%","","0%","98.49%"
"Audience","Women: 80.86%","Men: 10.21%","Children: 8.93%","","","0%","86.09%"
"Category1","Skincare: 60.62%","Footcare: 18.05%","Cellulite & Other Treatments: 15%","Hair Removal: 3.89%","Health Supplements: 1.83%","0.61%","94%"
"Product","Cellulite Trimming Gel: 3.25%","Body Lotion - Oceanic Minerals: 2.74%","Kit-Firming Cream/Slimming Cream/Shorts: 2.57%","Body Silk: 2.41%","Herbal Foot Balm: 2.31%","86.72%","94%"
"Pattern","Solid: 58%","Conversational: 39.12%","Floral: 2.03%","Stripe: 0.55%","Herringbone: 0.18%","0.12%","93.72%"
