"Variable","Top 1st","Top 2nd","Top 3rd","Top 4th","Top 5th","Others","Not Available"
"BrandName","DKNY: 9.99%","Silk Reflections: 9.21%","ORO: 8.85%","HPK: 7.22%","AME: 7.13%","0%","86.16%"
"PrimaryPackage","Bottle: 35.18%","Tube: 30.46%","Jar: 25.55%","Box: 5.4%","Spray: 3.41%","0%","96.07%"
"Cat1Sub2","Gift Sets & Special Items: 19.75%","Deodorizer: 18.13%","Massage/Relaxers: 15.54%","Firming: 12.65%","Energizers: 8.92%","0%","98.57%"
"StockType","Replenishable: 60.93%","Seasonal 1: 23.75%","Seasonal 1*: 11.25%","Seasonal 2: 2.07%","Replenishment: 1.83%","0%","80.3%"
"ProductForm","Cream: 54.01%","Liquid: 24.19%","gel: 7.58%","Lotion: 7.36%","Capsule: 5.97%","0%","96.64%"
"Look","Sheer: 83.41%","Ultra Sheer: 13.1%","Opaque: 3.48%","","","0%","94.22%"
"BasicOrFashion","Basic: 92.33%","Fashion: 7.67%","","","","0%","86.11%"
"MfgStyleCode","Tricot: 2.34%","BC27340: 1.45%","00N02: 1.35%","00Q63: 1.34%","5751: 1.2%","10.26%","82.06%"
"SaleOrNonSale","NSALE: 100%","","","","","0%","94.46%"
"Cat1Sub3","Energizers: 31.31%","Cellulite: 21.73%","Moisturizers: 19.5%","Massage/Relaxers: 17.96%","Gift Sets & Special Items: 9.5%","0%","99.29%"
"ColorOrScentDropdown","Yes: 100%","","","","","0%","99.7%"
"DisContinuedInd","A: 100%","","","","","0%","99.35%"
"Socktype2","ML: 28.71%","PA: 21.76%","KS: 18.72%","TS: 15.89%","OC: 14.92%","0%","97.94%"
"Terms","COD: 100%","","","","","0%","94%"
"Socktype1","ML: 57%","PA: 23.06%","TS: 13.66%","OC: 3.57%","KS: 2.71%","0%","95%"
"InOrOutofStock","IS: 100%","","","","","0%","94.15%"
"HasDressingRoom","False: 73.56%","True: 26.44%","","","","0%","86.09%"
"ColorOrScent","Scent: 85.69%","Color: 14.31%","","","","0%","99.7%"
"Texture","Flat: 66.48%","Textured: 33.52%","","","","0%","96.65%"
"WeightUOM","oz: 99.22%","oz\.: 0.66%","lb: 0.12%","","","0%","82.22%"
"Manufacturer","Donna Karan Company: 10.79%","Peneco: 9.08%","HAN: 8.66%","Kneipp: 6.61%","Paul Lavitt Mills Inc\.: 6.54%","0%","80.12%"
"ExplodedProdKits","IS: 100%","","","","","0%","99.98%"
"DimUOM","in: 67.49%","inches: 32.51%","","","","0%","82.19%"
"ToeFeature","SF: 86.04%","RT: 13.96%","","","","0%","93.49%"
"Category2","Gift Sets & Special Items: 32.01%","Skincare: 23.28%","Cellulite & Other Treatments: 22.82%","Footcare: 14.47%","Health Supplements: 6.2%","0%","99.21%"
"Material","Cotton: 66.35%","Nylon: 23.62%","Coolmax: 3.71%","Rayon: 1.49%","Lycra: 1.04%","0%","93.18%"
